a.id,a.lab
192,2
226,2
234,3
435,2
444,1
448,2
521,2
620,2
631,2
714,1
794,2
798,2
867,3
871,1
934,2
959,0
1102,2
1116,0
1140,2
1245,2
1256,3
1288,3
1313,2
1314,1
1336,1
1338,1
1394,2
1582,1
1705,1
1842,2
1844,0
1930,2
1975,1
2237,0
2245,0
2280,3
2290,1
2316,1
2418,0
2500,2
2525,0
2526,0
2588,1
2691,2
3043,1
3293,3
3362,3
3460,2
3490,0
3530,0
3628,3
3666,3
3673,2
3675,0
3711,3
3720,0
3759,2
3782,3
3794,2
4027,0
4112,3
4130,3
4136,3
4225,1
4239,3
4241,0
4254,3
4285,2
4319,2
4327,2
4386,0
4469,2
4472,2
4473,2
4489,2
4516,2
4561,2
4595,2
4606,0
4642,2
4681,2
4701,1
4730,2
4793,2
4802,0
4830,2
4840,3
4842,2
4865,0
4886,2
4922,2
4927,2
4968,0
5048,2
5049,2
5160,3
5173,3
5214,1
5217,1
5269,0
5282,3
5304,0
5577,2
5586,2
5739,2
5752,0
5795,2
6114,3
6127,3
6143,1
6207,0
6295,1
6330,3
6461,0
6613,1
6656,3
6773,2
6805,1
6890,0
6976,0
7022,0
7046,2
7244,3
7277,1
7338,0
7366,0
7562,1
7569,3
7728,2
7739,2
7757,0
7885,3
7907,2
7964,0
8053,0
8207,1
8242,1
8320,3
8394,3
8450,1
8741,0
8756,1
8788,3
8875,0
8912,1
8928,0
8966,0
9000,3
9024,1
9096,3
9098,1
9153,0
9222,3
9252,1
9329,1
9391,0
9465,1
9485,0
9518,3
9521,2
9784,0
9791,3
9873,1
9915,1
10003,3
10138,2
10220,1
10299,2
10431,1
10450,1
10465,1
10491,2
10497,1
10566,0
10751,1
10752,1
10851,1
11175,3
11216,0
11222,3
11242,1
11278,1
11526,0
11532,2
11721,0
11724,3
11758,2
11870,0
11917,0
11964,3
11983,2
12184,0
12259,0
12269,0
12284,1
12309,1
12316,3
12317,3
12350,0
12351,3
12403,2
12443,0
12526,2
12551,0
12583,3
12609,0
12631,3
12672,0
12673,0
12729,2
12801,2
12816,3
12837,0
12844,0
12875,0
12916,0
12945,0
12977,0
13075,3
13086,0
13095,0
13101,0
13103,2
13106,0
13125,0
13148,0
13152,1
13209,1
13226,0
13239,0
13290,2
13312,2
13319,1
13375,0
13377,0
13380,1
13401,1
13428,0
13440,0
13451,0
13485,1
13548,3
13573,0
13801,0
13848,0
13896,2
13897,2
13957,2
14112,2
14117,1
14127,0
14180,0
14236,0
14408,1
14481,0
14496,3
14513,1
14572,2
14696,1
14729,2
15009,1
15083,3
15135,2
15138,2
15142,2
15148,1
15151,2
15152,2
15153,2
15157,2
15158,2
15179,2
15181,2
15200,2
15201,2
15202,2
15204,0
15206,0
15210,2
15218,2
15222,2
15229,2
15249,2
15250,2
15254,2
15266,1
15267,2
15272,2
15276,2
15278,2
15283,2
15290,2
15291,2
15292,2
15294,0
15297,2
15305,2
15310,2
15324,2
15334,2
15350,2
15359,2
15364,3
15365,2
15381,2
15385,2
15392,2
15407,2
15410,2
15414,1
15420,2
15424,2
15425,2
15438,2
15440,2
15441,2
15454,3
15463,1
15468,2
15469,2
15470,3
15474,2
15475,2
15478,2
15481,2
15487,2
15493,2
15494,2
15501,2
15514,1
15516,2
15521,2
15524,2
15530,2
15542,2
15545,1
15547,2
15554,2
15566,2
15570,2
15571,2
15574,0
15575,2
15578,2
15582,2
15588,2
15592,2
15594,2
15601,2
15607,2
15608,2
15610,2
15612,2
15615,2
15644,2
15645,2
15647,2
15659,2
15663,2
15667,2
15672,0
15686,2
15696,0
15700,2
15701,2
15704,2
15706,2
15710,2
15713,2
15717,2
15724,2
15725,2
15728,2
15732,2
15738,2
15756,2
15757,2
15768,2
15774,2
15777,2
15779,2
15780,2
15786,2
15787,2
15791,2
15794,2
15795,2
15796,2
15800,2
15806,2
15807,2
