i,j,x
6,2,TRUE
1184,3,TRUE
2354,3,TRUE
3627,3,TRUE
340,4,TRUE
651,4,TRUE
768,4,TRUE
2647,4,TRUE
3417,4,TRUE
2603,5,TRUE
2815,5,TRUE
2,6,TRUE
413,9,TRUE
3012,10,TRUE
558,12,TRUE
804,12,TRUE
124,13,TRUE
142,13,TRUE
1830,13,TRUE
1354,14,TRUE
1882,14,TRUE
2172,14,TRUE
3283,14,TRUE
851,15,TRUE
1015,15,TRUE
1016,15,TRUE
1133,15,TRUE
2119,15,TRUE
3306,15,TRUE
1561,17,TRUE
1673,17,TRUE
1674,17,TRUE
1817,17,TRUE
1818,17,TRUE
743,20,TRUE
1161,20,TRUE
147,21,TRUE
165,21,TRUE
1494,21,TRUE
1723,21,TRUE
3732,22,TRUE
999,24,TRUE
2824,24,TRUE
43,25,TRUE
3336,25,TRUE
1345,26,TRUE
1082,27,TRUE
1016,29,TRUE
1298,29,TRUE
1433,29,TRUE
2317,29,TRUE
2402,29,TRUE
1163,30,TRUE
1538,30,TRUE
2184,30,TRUE
169,31,TRUE
216,31,TRUE
1709,33,TRUE
1710,33,TRUE
2027,35,TRUE
1464,36,TRUE
252,37,TRUE
384,37,TRUE
759,37,TRUE
1984,37,TRUE
3219,37,TRUE
1964,39,TRUE
971,41,TRUE
1524,41,TRUE
2102,41,TRUE
2281,41,TRUE
3198,41,TRUE
25,43,TRUE
162,43,TRUE
164,43,TRUE
516,43,TRUE
551,43,TRUE
896,43,TRUE
1063,43,TRUE
1064,43,TRUE
1844,43,TRUE
1889,43,TRUE
2376,43,TRUE
2557,43,TRUE
3336,43,TRUE
3594,43,TRUE
1013,44,TRUE
1057,44,TRUE
1058,44,TRUE
1370,46,TRUE
1836,46,TRUE
2536,46,TRUE
3360,47,TRUE
166,48,TRUE
543,48,TRUE
546,48,TRUE
547,48,TRUE
1655,48,TRUE
1879,48,TRUE
2408,48,TRUE
1524,49,TRUE
2259,49,TRUE
2747,49,TRUE
3160,49,TRUE
56,50,TRUE
1492,50,TRUE
205,51,TRUE
1472,51,TRUE
442,53,TRUE
701,53,TRUE
931,53,TRUE
1325,53,TRUE
3384,53,TRUE
3385,53,TRUE
603,54,TRUE
2972,54,TRUE
50,56,TRUE
1390,56,TRUE
1492,56,TRUE
2215,56,TRUE
3655,56,TRUE
4013,56,TRUE
831,57,TRUE
2975,58,TRUE
3081,58,TRUE
3480,58,TRUE
528,61,TRUE
1906,61,TRUE
1910,61,TRUE
2203,61,TRUE
63,62,TRUE
62,63,TRUE
1016,64,TRUE
1571,64,TRUE
1572,64,TRUE
165,65,TRUE
1208,65,TRUE
1494,65,TRUE
1536,65,TRUE
2190,65,TRUE
2191,65,TRUE
2274,65,TRUE
2323,65,TRUE
2354,65,TRUE
2785,65,TRUE
1628,67,TRUE
2609,67,TRUE
480,69,TRUE
653,69,TRUE
1096,69,TRUE
233,71,TRUE
325,71,TRUE
1511,71,TRUE
1673,71,TRUE
3100,71,TRUE
374,72,TRUE
574,72,TRUE
2099,72,TRUE
