user,lang,langnum
1,RU,16
2,PL,14
3,RU,16
4,DE,3
5,FR,6
6,DE,3
7,IT,8
8,RU,16
9,FR,6
10,FR,6
11,PT,15
12,KO,10
13,FR,6
14,RU,16
15,DE,3
16,ES,4
17,OTHER,13
18,PL,14
19,ZH,20
20,DE,3
21,FR,6
22,DE,3
23,PL,14
24,FR,6
25,KO,10
26,SV,17
27,ES,4
28,FR,6
29,FR,6
30,DE,3
31,ZH,20
32,DE,3
33,NL,11
34,JA,9
35,KO,10
36,DE,3
37,DE,3
38,DE,3
39,DE,3
40,RU,16
41,FR,6
42,FR,6
43,FR,6
44,RU,16
45,KO,10
46,JA,9
47,RU,16
48,DE,3
49,TH,18
50,DE,3
51,DE,3
52,DA,2
53,FR,6
54,NL,11
55,ZH,20
56,RU,16
57,ES,4
58,ES,4
59,ES,4
60,RU,16
61,DA,2
62,FR,6
63,FR,6
64,DE,3
65,DE,3
66,DE,3
67,HU,7
68,FR,6
69,ES,4
70,DE,3
71,TR,19
72,FR,6
73,RU,16
74,RU,16
75,DE,3
76,DA,2
77,NL,11
78,FR,6
79,DE,3
80,DE,3
81,ZH,20
82,FR,6
83,IT,8
84,ES,4
85,DE,3
86,DE,3
87,CS,1
88,DE,3
89,ZH,20
90,HU,7
91,KO,10
92,FR,6
93,RU,16
94,FR,6
95,ES,4
96,ES,4
97,RU,16
98,DE,3
99,DE,3
100,FR,6
101,FR,6
102,RU,16
103,RU,16
104,NL,11
105,FR,6
106,DE,3
107,ZH,20
108,ZH,20
109,DA,2
110,SV,17
111,ES,4
112,ES,4
113,FR,6
114,DE,3
115,PL,14
116,DE,3
117,RU,16
118,ES,4
119,CS,1
120,FR,6
121,TR,19
122,DE,3
123,DE,3
124,RU,16
125,FI,5
126,RU,16
127,ES,4
128,DE,3
129,RU,16
130,HU,7
131,PL,14
132,JA,9
133,ZH,20
134,TH,18
135,JA,9
136,DE,3
137,RU,16
138,FR,6
139,FR,6
140,PL,14
141,RU,16
142,PT,15
143,FR,6
144,ZH,20
145,IT,8
146,DE,3
147,DE,3
148,DE,3
149,ES,4
150,PL,14
151,FR,6
152,DE,3
153,DE,3
154,ZH,20
155,RU,16
156,RU,16
157,RU,16
158,FR,6
159,ZH,20
160,RU,16
161,ES,4
162,DE,3
163,PL,14
164,ES,4
165,FR,6
166,HU,7
167,FR,6
168,ZH,20
169,ZH,20
170,SV,17
171,PT,15
172,DE,3
173,RU,16
174,ES,4
175,ES,4
176,NO,12
177,RU,16
178,PL,14
179,RU,16
180,FR,6
181,CS,1
182,RU,16
183,DE,3
184,PL,14
185,DE,3
186,FR,6
187,FR,6
188,DE,3
189,FR,6
190,JA,9
191,RU,16
192,RU,16
193,CS,1
194,PT,15
195,ZH,20
196,FI,5
197,DE,3
198,DE,3
199,DA,2
200,HU,7
201,JA,9
202,ES,4
203,FR,6
204,IT,8
205,DE,3
206,FR,6
207,ES,4
208,FR,6
209,FR,6
210,ES,4
211,DA,2
212,PT,15
213,DE,3
214,DE,3
215,DE,3
216,FR,6
217,DE,3
218,FR,6
219,DE,3
220,ES,4
221,SV,17
222,KO,10
223,DA,2
224,RU,16
225,DE,3
226,TR,19
227,RU,16
228,DE,3
229,FR,6
230,IT,8
231,ES,4
232,RU,16
233,DE,3
234,FR,6
235,ZH,20
236,JA,9
237,FR,6
238,DE,3
239,FR,6
240,ES,4
241,RU,16
242,ZH,20
243,FR,6
244,FR,6
245,IT,8
246,ES,4
247,RU,16
248,PT,15
249,FR,6
250,DE,3
251,DE,3
252,FR,6
253,FR,6
254,ES,4
255,ES,4
256,FR,6
257,KO,10
258,JA,9
259,IT,8
260,DA,2
261,ES,4
262,ES,4
263,RU,16
264,DE,3
265,DE,3
266,PT,15
267,PT,15
268,RU,16
269,DE,3
270,DE,3
271,JA,9
272,PT,15
273,DE,3
274,SV,17
275,TR,19
276,ES,4
277,ES,4
278,HU,7
279,TR,19
280,DE,3
281,CS,1
282,ES,4
283,PT,15
284,DE,3
285,RU,16
286,FR,6
287,DE,3
288,DE,3
289,DE,3
290,FR,6
291,ES,4
292,DE,3
293,IT,8
294,RU,16
295,FR,6
296,CS,1
297,FR,6
298,DE,3
299,OTHER,13
300,KO,10
301,ES,4
302,ZH,20
303,FR,6
304,TR,19
305,KO,10
306,ZH,20
307,SV,17
308,DA,2
309,DE,3
