i,j
8356,1
9009,1
12090,1
16652,1
29878,1
30381,1
31225,1
150,2
408,2
1440,2
1619,2
2076,2
2109,2
2457,2
4008,2
4031,2
4522,2
5446,2
5525,2
5798,2
6062,2
6200,2
7080,2
8348,2
8865,2
10818,2
11137,2
12349,2
12746,2
13627,2
14230,2
14598,2
16172,2
16912,2
19793,2
21309,2
22990,2
26106,2
26146,2
27781,2
28715,2
30599,2
31736,2
873,3
990,3
1546,3
1607,3
2060,3
3145,3
3226,3
3900,3
3982,3
4415,3
4912,3
4915,3
5110,3
6100,3
8478,3
10227,3
10583,3
13111,3
13704,3
14785,3
15091,3
15186,3
17524,3
18515,3
19368,3
20779,3
27717,3
30537,3
32080,3
9561,4
11911,4
12404,4
14390,4
17972,4
22348,4
22915,4
25255,4
30468,4
32067,4
18567,5
1229,6
1439,6
1983,6
2755,6
8207,6
8674,6
17608,6
23824,6
27603,6
28063,6
7106,7
16745,7
4414,8
7864,8
11015,8
12090,8
20351,8
25635,8
26009,8
31802,8
9847,9
12430,9
16078,9
17330,9
23473,9
24257,9
26981,9
2274,10
12967,10
1446,11
2482,11
2665,11
2885,11
5352,11
5615,11
5975,11
6366,11
7456,11
10239,11
10429,11
11397,11
17025,11
18175,11
19923,11
21134,11
23593,11
23817,11
24728,11
27209,11
27482,11
29680,11
29988,11
962,12
11477,12
25875,12
725,13
1438,13
1793,13
2767,13
2836,13
3294,13
3752,13
4004,13
5040,13
6595,13
7300,13
8398,13
8877,13
10011,13
10488,13
11108,13
11249,13
11699,13
14072,13
14109,13
14484,13
14825,13
15834,13
16251,13
17637,13
17701,13
18013,13
18560,13
18744,13
21063,13
22139,13
22440,13
22942,13
23440,13
23474,13
24496,13
24617,13
25247,13
27869,13
27954,13
29336,13
10139,14
12528,14
16471,14
148,15
213,15
269,15
343,15
499,15
850,15
963,15
984,15
1089,15
1158,15
1198,15
1408,15
1472,15
1485,15
1517,15
1519,15
1741,15
1911,15
2040,15
2476,15
2519,15
2546,15
2630,15
2655,15
2677,15
2755,15
3188,15
3267,15
3290,15
3401,15
3403,15
3694,15
3796,15
3963,15
3979,15
3989,15
4013,15
4136,15
4163,15
